violation_number,date_utc,address,zonenumber,lpn,description
831394098,2025-09-24 15:05:37,"x11 HAZELTON ST, Boston, MA",216906,6SZW48,323 No Valid / Expired Inspection
831394099,2025-09-24 15:06:52,"11 HAZELTON ST, Boston, MA",216906,5PTF95,323 No Valid / Expired Inspection
831394101,2025-09-24 15:37:54,"15 COURTLAND RD, Boston, MA",216906,6JNB11,323 No Valid / Expired Inspection
831394103,2025-09-24 16:06:22,"522 RIVER ST, Boston, MA",216906,MMZ5561,333 No Stopping or Standing
831394420,2025-09-24 16:59:23,"1194 BLUE HILL AVE, Boston, MA",216906,EVBC96,323 No Valid / Expired Inspection
831394098,2025-09-24 15:05:37,"x11 HAZELTON ST, Boston, MA",216906,6SZW48,323 No Valid / Expired Inspection
831394099,2025-09-24 15:06:52,"11 HAZELTON ST, Boston, MA",216906,5PTF95,323 No Valid / Expired Inspection
831394101,2025-09-24 15:37:54,"15 COURTLAND RD, Boston, MA",216906,6JNB11,323 No Valid / Expired Inspection
831394103,2025-09-24 16:06:22,"522 RIVER ST, Boston, MA",216906,MMZ5561,333 No Stopping or Standing
831394105,2025-09-24 17:15:12,"755 MORTON ST, Boston, MA",216906,6RL315,323 No Valid / Expired Inspection
831394106,2025-09-24 17:15:12,"755 MORTON ST, Boston, MA",216906,6RL315,323 No Valid / Expired Inspection
831394107,2025-09-24 18:01:21,"599 MORTON ST, Boston, MA",216906,2NKG72,316 Sidewalk
831394108,2025-09-24 18:02:12,"605 MORTON ST, Boston, MA",216906,4BVK22,316 Sidewalk
831394420,2025-09-24 16:59:23,"1194 BLUE HILL AVE, Boston, MA",216906,EVBC96,323 No Valid / Expired Inspection
831394421,2025-09-24 18:01:18,"597 MORTON ST, Boston, MA",216906,1SMC73,326 Bike or Bus Lane
